perm_id	fragment_length	enrichment_null
1	70	2.1237833008953095
1	80	1.2806448603920793
1	90	0.8717311054875732
1	100	1.006555999216495
1	110	1.0272434747805255
1	120	0.9903416893951493
2	70	1.8320709524762582
2	80	1.4966691921230828
2	90	1.202243064591987
2	100	1.0017774424682178
2	110	0.945348027568311
2	120	0.9353612556641426
3	70	2.1617206980700954
3	80	1.4802339279833894
3	90	0.8866867452327198
3	100	0.8424739555020089
3	110	0.8247286252836242
3	120	0.8088484962492986
4	70	2.054175675728063
4	80	0.9604338468107846
4	90	0.8297825081230101
4	100	0.8639775661965747
4	110	0.8366771606677019
4	120	0.8422127848681825
5	70	1.586319196445199
5	80	1.0250276472194986
5	90	0.9271650205590928
5	100	0.8525133994741204
5	110	0.8369191019734437
5	120	0.8178082958494434
6	70	2.819611282923664
6	80	1.8337256583779151
6	90	1.406351002235467
6	100	1.0198526503408227
6	110	0.9292525199988991
6	120	0.9030924087132046
7	70	0.43532699247491335
7	80	0.555233373770963
7	90	0.5850906381217675
7	100	0.696919258255245
7	110	0.7367795179068952
7	120	0.7716001571466726
8	70	1.3900899298749776
8	80	1.2941872855400887
8	90	1.3884337301619778
8	100	1.258363901183106
8	110	1.2033157054286345
8	120	1.1572207216045864
9	70	0.29586014059990917
9	80	0.4521249954151902
9	90	0.646942755422769
9	100	0.7946811766833373
9	110	0.8350978026120661
9	120	0.8604127639699877
10	70	1.2697470568508122
10	80	1.3566705025588701
10	90	1.2777689050906125
10	100	1.239770972898303
10	110	1.2242324556673687
10	120	1.1565698206168076
11	70	1.6241241759194338
11	80	1.13135364231961
11	90	1.0082325894353579
11	100	0.8555496881446081
11	110	0.8380293582310517
11	120	0.8456779144998149
12	70	1.4408766502807133
12	80	1.001073591860688
12	90	1.08092951622217
12	100	1.2177412714496039
12	110	1.1806891922638072
12	120	1.1435180893362715
13	70	1.6770119893417912
13	80	1.0998083103299474
13	90	1.0127165007391052
13	100	0.9886806609993859
13	110	1.0230465565015057
13	120	1.0205873644202705
14	70	0.515413927314891
14	80	0.7428496164335243
14	90	0.8522678603080452
14	100	0.8382237588111616
14	110	0.9052132788272941
14	120	0.9418163899973336
15	70	1.002187378174664
15	80	0.7156015780975652
15	90	0.6871720708500014
15	100	0.7069067442980994
15	110	0.7083898990010011
15	120	0.7033380341486767
16	70	1.4481303732191417
16	80	1.6156981720930101
16	90	1.135893823393818
16	100	1.22495406267048
16	110	1.155643179652979
16	120	1.1029399354736131
17	70	0.6319731232200662
17	80	0.9387023515112911
17	90	0.9608906244261778
17	100	1.0727927122474332
17	110	1.0789649413889746
17	120	1.0936539459552341
18	70	0.7328256828207392
18	80	0.7661474561096487
18	90	0.6462278472576298
18	100	0.6678824265740299
18	110	0.7273363123124144
18	120	0.7624966302781284
19	70	0.5287151763785662
19	80	0.7583605257897077
19	90	0.8246351476425022
19	100	0.8094112309913094
19	110	0.8416573636333794
19	120	0.8665114096121743
20	70	0.5713242764583742
20	80	0.5652286554417022
20	90	0.7721906152021221
20	100	0.8015811361404077
20	110	0.8029591532561763
20	120	0.8262944698546023
21	70	1.1061024265953383
21	80	0.8401626616255907
21	90	0.7251322333065267
21	100	0.7604610813121395
21	110	0.7559153569836825
21	120	0.7834907840595611
22	70	0.9803137197976003
22	80	0.7656014049660816
22	90	0.7805886620221261
22	100	0.7149066749999459
22	110	0.7640903335701172
22	120	0.7990293182461687
23	70	2.332131704280089
23	80	1.6570742369512639
23	90	1.1493116126229397
23	100	1.0988296345245478
23	110	1.07267238479596
23	120	1.032437088249501
24	70	0.699069065211921
24	80	0.9011113203079906
24	90	1.1071906466447508
24	100	1.3126776575738073
24	110	1.3017513292244784
24	120	1.3205424164777544
25	70	0.4270996133714641
25	80	0.6764091869104967
25	90	0.7597323630123045
25	100	0.7456990096514725
25	110	0.7913895874135516
25	120	0.8112955360154629
26	70	0.6726213401312013
26	80	0.9580346448922709
26	90	0.8835052092615358
26	100	0.8482038633978042
26	110	0.889587626653823
26	120	0.8832047836437155
27	70	3.20108827568732
27	80	1.5658804056676785
